Dataset,k,AUC,AUPRC,SIL
aki48,2,0.49586,0.58765,0.58785737
aki48,3,0.65811,0.73245,0.56761813
aki48,4,0.65078,0.73082,0.4372851
aki48,5,0.67032,0.73290,0.42154595
aki48,6,0.57458,0.64017,0.51035744
aki48,7,0.57755,0.66777,0.51039636
aki48,8,0.67744,0.75188,0.53607315
aki48,10,0.64763,0.73396,0.37700787
ards48,2,0.89914,0.78193,0.6248705
ards48,3,0.90530,0.82137,0.16114412
ards48,4,0.90876,0.82022,0.45949733
ards48,5,0.90538,0.80018,0.39563933
ards48,6,0.90821,0.83293,0.40205923
ards48,7,0.88349,0.76517,0.34923932
ards48,8,0.89582,0.80239,0.29641423
ards48,10,0.88089,0.76615,0.36845183